Date,Year,Quarter,Quarter_Label,Month,Month_Name,Year_Month,Week_of_Year,Day_of_Week,Day_Name,Is_Weekend,Data_Type,Actual_Sales,Forecasted_Sales,Lower_Bound,Upper_Bound,Trend
2014-01-16,2014,1,Q1 2014,1,January,2014-01,3,3,Thursday,0,Historical,299.964,1911.3919221867131,-2166.717009911394,5797.958585452924,1604.6617588700806
2014-01-18,2014,1,Q1 2014,1,January,2014-01,3,5,Saturday,1,Historical,64.864,1501.2663673522425,-2496.260306688792,5516.020622380671,1604.0619422598588
2014-01-19,2014,1,Q1 2014,1,January,2014-01,3,6,Sunday,1,Historical,378.594,1421.003172352594,-2153.36125887596,5452.281380520241,1603.7620339547484
2014-01-20,2014,1,Q1 2014,1,January,2014-01,4,0,Monday,0,Historical,2673.87,1080.8504370676753,-2631.080193276971,4977.879888506435,1603.4621256496375
2014-01-21,2014,1,Q1 2014,1,January,2014-01,4,1,Tuesday,0,Historical,25.248,432.94962493817144,-3550.330780883535,4423.262561359993,1603.1622173445267
2014-01-23,2014,1,Q1 2014,1,January,2014-01,4,3,Thursday,0,Historical,46.019999999999996,790.6653740328838,-3108.4442058942996,4899.094341386874,1602.5624007343054
2014-01-26,2014,1,Q1 2014,1,January,2014-01,4,6,Sunday,1,Historical,1097.25,1096.5496269986852,-2846.116078618596,5142.133223127532,1601.662675818973
2014-01-27,2014,1,Q1 2014,1,January,2014-01,5,0,Monday,0,Historical,426.67,1352.211643899458,-2881.997220025929,5038.498869542301,1601.3627675138623
2014-01-28,2014,1,Q1 2014,1,January,2014-01,5,1,Tuesday,0,Historical,3.928,1338.6738232305943,-2526.274932644022,5679.822357381748,1601.0628592087517
2014-01-30,2014,1,Q1 2014,1,January,2014-01,5,3,Thursday,0,Historical,240.5,1525.361298979435,-2500.7013458994156,5616.199725428333,1600.4630425985301
2014-01-31,2014,1,Q1 2014,1,January,2014-01,5,4,Friday,0,Historical,290.666,1209.3372281935403,-2757.2664018797595,5185.350108848124,1600.1631342934195
2014-02-01,2014,1,Q1 2014,2,February,2014-02,5,5,Saturday,1,Historical,468.9,431.55460091871055,-3590.0622338660323,4343.941619311846,1599.8632259883086
2014-02-02,2014,1,Q1 2014,2,February,2014-02,5,6,Sunday,1,Historical,211.64600000000002,615.7210467321494,-3241.9998456641106,4866.634278103458,1599.563317683198
2014-02-03,2014,1,Q1 2014,2,February,2014-02,6,0,Monday,0,Historical,97.11200000000001,963.4892414953032,-2939.567908073478,4536.354260795502,1599.2634093780873
2014-02-04,2014,1,Q1 2014,2,February,2014-02,6,1,Tuesday,0,Historical,134.38400000000001,970.8261355855933,-3005.145953589734,5313.345818468766,1598.9635010729764
2014-02-06,2014,1,Q1 2014,2,February,2014-02,6,3,Thursday,0,Historical,330.512,1486.1274808440653,-2435.632716210704,5691.107299597728,1598.363684462755
2014-02-07,2014,1,Q1 2014,2,February,2014-02,6,4,Friday,0,Historical,180.32,1688.4535246437179,-2569.556016550065,5637.957385927922,1598.0637761576443
2014-02-08,2014,1,Q1 2014,2,February,2014-02,6,5,Saturday,1,Historical,14.56,1268.6631151205565,-2758.977539983993,5017.596207251743,1597.7638678525336
2014-02-11,2014,1,Q1 2014,2,February,2014-02,7,1,Tuesday,0,Historical,2043.4,425.02455485323225,-3574.7171241446936,4842.659780953519,1596.8641429372014
2014-02-12,2014,1,Q1 2014,2,February,2014-02,7,2,Wednesday,0,Historical,129.568,-488.714435085933,-4765.983684929337,3921.5376864856257,1596.5642346320906
2014-02-14,2014,1,Q1 2014,2,February,2014-02,7,4,Friday,0,Historical,576.726,838.3111446942168,-2755.424347622845,5066.602070735797,1595.9644173587833
2014-02-15,2014,1,Q1 2014,2,February,2014-02,7,5,Saturday,1,Historical,21.36,618.5473086091166,-3375.787998405875,4484.691386160174,1595.6645087221295
2014-02-16,2014,1,Q1 2014,2,February,2014-02,7,6,Sunday,1,Historical,9.04,1014.5757649057035,-2927.340579655098,5104.090570463006,1595.3646000854756
2014-02-17,2014,1,Q1 2014,2,February,2014-02,8,0,Monday,0,Historical,54.208,1195.507344209753,-2822.961465820329,5104.589214356405,1595.0646914488218
2014-02-18,2014,1,Q1 2014,2,February,2014-02,8,1,Tuesday,0,Historical,37.784,769.0207786599541,-3315.214997610846,4763.630928859978,1594.7647828121683
2014-02-20,2014,1,Q1 2014,2,February,2014-02,8,3,Thursday,0,Historical,95.59,179.7252709418844,-3758.4944448171605,4428.83438395162,1594.1649655388608
2014-02-21,2014,1,Q1 2014,2,February,2014-02,8,4,Friday,0,Historical,8.85,115.25881286449119,-3787.1293606418717,4126.0915046283435,1593.8650569022072
2014-02-22,2014,1,Q1 2014,2,February,2014-02,8,5,Saturday,1,Historical,19.44,-149.61197612398786,-4266.854383897435,3873.720197935276,1593.5651482655535
2014-02-23,2014,1,Q1 2014,2,February,2014-02,8,6,Sunday,1,Historical,11.364,355.5289065062259,-3555.0543897913103,4134.438365257934,1593.2652396288997
2014-02-24,2014,1,Q1 2014,2,February,2014-02,9,0,Monday,0,Historical,55.672,617.2355101575741,-3339.154763399019,4655.595865288132,1592.965330992246
2014-02-27,2014,1,Q1 2014,2,February,2014-02,9,3,Thursday,0,Historical,19.456,942.6249574599576,-3036.7850393404565,5257.223614438892,1592.0656050822847
2014-03-01,2014,1,Q1 2014,3,March,2014-03,9,5,Saturday,1,Historical,2203.151,1214.3830736711295,-2665.4947204717755,5118.503902310144,1591.4657878089774
2014-03-02,2014,1,Q1 2014,3,March,2014-03,9,6,Sunday,1,Historical,202.384,1177.6920651124663,-3216.6685352656364,5249.574954474139,1591.1658791723237
2014-03-03,2014,1,Q1 2014,3,March,2014-03,10,0,Monday,0,Historical,1345.8919999999998,823.5870660868483,-3144.9822757376055,4883.573593698117,1590.86597053567
2014-03-04,2014,1,Q1 2014,3,March,2014-03,10,1,Tuesday,0,Historical,370.452,274.22791049311735,-3490.612328311579,3980.5808109332875,1590.5660618990164
2014-03-05,2014,1,Q1 2014,3,March,2014-03,10,2,Wednesday,0,Historical,705.562,-344.95786385557545,-4472.579696630613,3549.4176604092454,1590.2661532623624
2014-03-07,2014,1,Q1 2014,3,March,2014-03,10,4,Friday,0,Historical,1561.062,1753.9580692463703,-2246.080958713844,5520.021132424894,1589.666335989055
2014-03-10,2014,1,Q1 2014,3,March,2014-03,11,0,Monday,0,Historical,741.956,2552.5352548143615,-1368.1316893189162,6498.554151919561,1588.7666100790939
2014-03-11,2014,1,Q1 2014,3,March,2014-03,11,1,Tuesday,0,Historical,918.314,2115.7219757550174,-1898.3813496670994,6154.4255576515625,1588.4667014424404
2014-03-14,2014,1,Q1 2014,3,March,2014-03,11,4,Friday,0,Historical,2108.55,1926.2081498853443,-2031.7912054565322,5852.803529663703,1587.5669755324789
2014-03-15,2014,1,Q1 2014,3,March,2014-03,11,5,Saturday,1,Historical,370.78200000000004,1928.2855298521724,-1956.244987058166,5672.275611356937,1587.2670668958253
2014-03-16,2014,1,Q1 2014,3,March,2014-03,11,6,Sunday,1,Historical,471.92,2708.9909911543828,-1028.4835602914247,6726.369927841894,1586.9671582591716
2014-03-17,2014,1,Q1 2014,3,March,2014-03,12,0,Monday,0,Historical,3960.358,3284.414042975388,-701.4950714706342,7052.158860095305,1586.6672496225178
2014-03-18,2014,1,Q1 2014,3,March,2014-03,12,1,Tuesday,0,Historical,28106.716,3278.7201665565563,-924.847328668529,7666.761537069184,1586.3673409858643
2014-03-19,2014,1,Q1 2014,3,March,2014-03,12,2,Wednesday,0,Historical,590.762,2596.5317883347434,-1486.647909793511,6577.24382442986,1586.0674323492105
2014-03-21,2014,1,Q1 2014,3,March,2014-03,12,4,Friday,0,Historical,4109.816,3168.8068463207387,-957.8850892761078,7027.896761184843,1585.467615075903
2014-03-22,2014,1,Q1 2014,3,March,2014-03,12,5,Saturday,1,Historical,464.09299999999996,2219.872247902504,-1970.6304153779668,6117.435450151969,1585.1677064392493
2014-03-23,2014,1,Q1 2014,3,March,2014-03,12,6,Sunday,1,Historical,945.064,1968.8771612575138,-2155.846879078788,5888.597481295874,1584.8677978025955
2014-03-24,2014,1,Q1 2014,3,March,2014-03,13,0,Monday,0,Historical,65.38,1850.88911417762,-1996.9999066777639,5657.662596350663,1584.5678891659418
2014-03-25,2014,1,Q1 2014,3,March,2014-03,13,1,Tuesday,0,Historical,459.146,1547.028301601705,-2567.897040165166,5777.250326187201,1584.2679793652514
2014-03-26,2014,1,Q1 2014,3,March,2014-03,13,2,Wednesday,0,Historical,145.13,749.89523046486,-3294.660465745232,4692.544232081645,1583.9680695645611
2014-03-28,2014,1,Q1 2014,3,March,2014-03,13,4,Friday,0,Historical,1823.8039999999999,1516.2548867159192,-2783.4380815942686,5359.188705927941,1583.3682499631802
2014-03-29,2014,1,Q1 2014,3,March,2014-03,13,5,Saturday,1,Historical,890.841,1162.6579986204938,-2972.846796135078,5102.139292639694,1583.06834016249
2014-03-30,2014,1,Q1 2014,3,March,2014-03,13,6,Sunday,1,Historical,1170.3220000000001,1626.4566449903061,-2217.0545014029617,5569.480569725794,1582.7684303617996
2014-03-31,2014,1,Q1 2014,3,March,2014-03,14,0,Monday,0,Historical,1959.552,1866.8710930557152,-2127.372752367605,5920.994956985276,1582.468520561109
2014-04-01,2014,2,Q2 2014,4,April,2014-04,14,1,Tuesday,0,Historical,119.88799999999999,1360.590492960091,-2675.302789692037,5649.831630535531,1582.1686107604187
2014-04-02,2014,2,Q2 2014,4,April,2014-04,14,2,Wednesday,0,Historical,1458.558,111.38057161820583,-3767.7368185601745,3577.2908708601617,1581.8687009597286
2014-04-03,2014,2,Q2 2014,4,April,2014-04,14,3,Thursday,0,Historical,233.45,705.5541149503489,-3069.653332181909,4838.695081344299,1581.568791159038
2014-04-04,2014,2,Q2 2014,4,April,2014-04,14,4,Friday,0,Historical,475.844,858.6891404370485,-3314.644619028705,4712.509239044915,1581.2688813583477
2014-04-05,2014,2,Q2 2014,4,April,2014-04,14,5,Saturday,1,Historical,5295.098000000001,836.0691599531649,-3300.7170037315313,4901.098296689001,1580.9689715576574
2014-04-06,2014,2,Q2 2014,4,April,2014-04,14,6,Sunday,1,Historical,1650.69,1488.7193720577698,-2389.0559022346747,5211.710839934722,1580.669061756967
2014-04-07,2014,2,Q2 2014,4,April,2014-04,15,0,Monday,0,Historical,1021.1700000000001,1827.3430058442034,-2089.7404061938705,6011.378123622495,1580.3691519562765
2014-04-08,2014,2,Q2 2014,4,April,2014-04,15,1,Tuesday,0,Historical,1958.75,1561.9413298992408,-2235.6021220230905,5750.333148010049,1580.0692421555862
2014-04-11,2014,2,Q2 2014,4,April,2014-04,15,4,Friday,0,Historical,1915.24,1509.4999523518088,-2264.308909538013,5644.669279314955,1579.169512753515
2014-04-12,2014,2,Q2 2014,4,April,2014-04,15,5,Saturday,1,Historical,1912.123,1025.337136100738,-3132.4323005770584,5125.298273901552,1578.8696029528246
2014-04-13,2014,2,Q2 2014,4,April,2014-04,15,6,Sunday,1,Historical,638.576,1346.9639556215539,-2307.408017219341,5501.600147456732,1578.5696931521343
2014-04-15,2014,2,Q2 2014,4,April,2014-04,16,1,Tuesday,0,Historical,294.71999999999997,1815.7131875910118,-2122.018004029801,5501.430696239638,1577.9698735507536
2014-04-16,2014,2,Q2 2014,4,April,2014-04,16,2,Wednesday,0,Historical,39.072,1299.5503174044363,-2866.3908966014765,5302.059995288805,1577.6699637500633
2014-04-18,2014,2,Q2 2014,4,April,2014-04,16,4,Friday,0,Historical,1020.532,2451.072557159808,-1630.8727493815854,6414.799253930723,1577.0701441486824
2014-04-19,2014,2,Q2 2014,4,April,2014-04,16,5,Saturday,1,Historical,205.47,1951.6042761137264,-2180.8559583229103,5943.647618608967,1576.770234347992
2014-04-20,2014,2,Q2 2014,4,April,2014-04,16,6,Sunday,1,Historical,1250.45,1930.0635685977213,-1767.498190843535,5945.114839536959,1576.4703245473017
2014-04-21,2014,2,Q2 2014,4,April,2014-04,17,0,Monday,0,Historical,845.36,1607.0497185447687,-2356.109517276775,5425.646049806846,1576.1704147466114
2014-04-22,2014,2,Q2 2014,4,April,2014-04,17,1,Tuesday,0,Historical,257.752,861.1365737390977,-3256.1230879687078,4609.10719409273,1575.8705049459209
2014-04-23,2014,2,Q2 2014,4,April,2014-04,17,2,Wednesday,0,Historical,643.98,-146.27820965903908,-4119.286151426759,4205.781845753288,1575.5705951452305
2014-04-25,2014,2,Q2 2014,4,April,2014-04,17,4,Friday,0,Historical,2379.9939999999997,1207.898612475786,-2620.948958448175,5017.648446369544,1574.9707755438496
2014-04-26,2014,2,Q2 2014,4,April,2014-04,17,5,Saturday,1,Historical,282.568,893.7112678833732,-2626.816047255568,4958.030249366434,1574.6708657431593
2014-04-28,2014,2,Q2 2014,4,April,2014-04,18,0,Monday,0,Historical,2578.476,1094.291436524887,-2718.6695468748253,4921.5491799877955,1574.0710461417789
2014-04-29,2014,2,Q2 2014,4,April,2014-04,18,1,Tuesday,0,Historical,768.8439999999999,943.0508575266863,-3284.247103015216,4775.062423079885,1573.7711363410883
2014-04-30,2014,2,Q2 2014,4,April,2014-04,18,2,Wednesday,0,Historical,1048.74,393.81960027691355,-3443.235839615051,4282.476273924866,1573.471226540398
2014-05-02,2014,2,Q2 2014,5,May,2014-05,18,4,Friday,0,Historical,506.12,1209.9377986475224,-2606.2863708224377,5078.405670644889,1572.8714058843207
2014-05-03,2014,2,Q2 2014,5,May,2014-05,18,5,Saturday,1,Historical,72.632,412.8846854090516,-3611.241993436173,4435.642399226388,1572.571495556282
2014-05-04,2014,2,Q2 2014,5,May,2014-05,18,6,Sunday,1,Historical,187.43200000000002,437.7189219160412,-3520.6635238005106,4430.337731420176,1572.271585228243
2014-05-05,2014,2,Q2 2014,5,May,2014-05,19,0,Monday,0,Historical,260.977,652.9240453034769,-3707.5970162847148,4401.668058379042,1571.9716749002046
2014-05-06,2014,2,Q2 2014,5,May,2014-05,19,1,Tuesday,0,Historical,254.456,646.2459037745903,-3010.2912746178354,4875.264785391219,1571.6717645721658
2014-05-07,2014,2,Q2 2014,5,May,2014-05,19,2,Wednesday,0,Historical,1091.35,140.4389609057865,-4042.331270193841,4169.399125464035,1571.3718542441272
2014-05-08,2014,2,Q2 2014,5,May,2014-05,19,3,Thursday,0,Historical,1799.97,1286.1481985216092,-2583.9060041342077,5260.973139495479,1571.0719439160885
2014-05-09,2014,2,Q2 2014,5,May,2014-05,19,4,Friday,0,Historical,394.48,1576.120307673989,-2534.473246611066,5725.525187405667,1570.77203358805
2014-05-10,2014,2,Q2 2014,5,May,2014-05,19,5,Saturday,1,Historical,2343.799,1313.9283162788656,-2832.5559551454085,5205.243641849015,1570.4721232600111
2014-05-11,2014,2,Q2 2014,5,May,2014-05,19,6,Sunday,1,Historical,1642.802,1534.5609952214415,-2568.217543233261,5394.446189323642,1570.1722129319724
2014-05-12,2014,2,Q2 2014,5,May,2014-05,20,0,Monday,0,Historical,734.846,1443.1581203710386,-2595.062554788,5249.440045673349,1569.8723026039338
2014-05-13,2014,2,Q2 2014,5,May,2014-05,20,1,Tuesday,0,Historical,898.382,893.860085033026,-3104.8629831104613,4755.885577750107,1569.5723922758953
2014-05-14,2014,2,Q2 2014,5,May,2014-05,20,2,Wednesday,0,Historical,310.88,2.586301404409263,-3682.8971023385375,4297.875251774295,1569.2724819478565
2014-05-16,2014,2,Q2 2014,5,May,2014-05,20,4,Friday,0,Historical,289.28,1423.284629705622,-2442.1205785645093,5334.989367996832,1568.6726612917791
2014-05-17,2014,2,Q2 2014,5,May,2014-05,20,5,Saturday,1,Historical,91.68,1303.345987692305,-2934.99200200176,5361.192152524533,1568.3727509637404
2014-05-18,2014,2,Q2 2014,5,May,2014-05,20,6,Sunday,1,Historical,948.9480000000001,1778.6239890062132,-2281.7027473585135,5289.864707590675,1568.0728406357016
2014-05-19,2014,2,Q2 2014,5,May,2014-05,21,0,Monday,0,Historical,91.62,2071.114296714243,-1747.9282072214621,6040.650832436148,1567.772930307663
2014-05-20,2014,2,Q2 2014,5,May,2014-05,21,1,Tuesday,0,Historical,320.10400000000004,1829.8947250465187,-2259.9026497276345,5741.141839367672,1567.4730199796245
2014-05-21,2014,2,Q2 2014,5,May,2014-05,21,2,Wednesday,0,Historical,4264.3279999999995,894.2746147744846,-2942.467937894074,5036.617137931836,1567.1731096515857
2014-05-22,2014,2,Q2 2014,5,May,2014-05,21,3,Thursday,0,Historical,180.93,1533.1124180090387,-2296.7035633777946,5432.041374673684,1566.8731993235472
2014-05-23,2014,2,Q2 2014,5,May,2014-05,21,4,Friday,0,Historical,323.75800000000004,1430.0437385685907,-2285.435633022126,5477.840418252278,1566.5732889955084
2014-05-24,2014,2,Q2 2014,5,May,2014-05,21,5,Saturday,1,Historical,116.28,1085.182120722618,-3139.401623670982,5239.808037978208,1566.2733786674696
2014-05-25,2014,2,Q2 2014,5,May,2014-05,21,6,Sunday,1,Historical,119.53999999999999,1025.4604054357465,-3027.859773747879,4709.724196326315,1565.9734683394308
2014-05-26,2014,2,Q2 2014,5,May,2014-05,22,0,Monday,0,Historical,1325.718,2920.6905334351036,-942.8321058433019,6861.260915041426,1565.6735580113925
2014-05-27,2014,2,Q2 2014,5,May,2014-05,22,1,Tuesday,0,Historical,2157.394,1237.8322304050116,-2795.109403189778,5312.781087388172,1565.3736476833537
2014-05-28,2014,2,Q2 2014,5,May,2014-05,22,2,Wednesday,0,Historical,221.96800000000002,723.129578212258,-3185.664030428641,4770.7377971351525,1565.073737355315
2014-05-30,2014,2,Q2 2014,5,May,2014-05,22,4,Friday,0,Historical,1924.913,2238.7024304981483,-1764.067580663502,6321.766339837556,1564.4739166992376
2014-05-31,2014,2,Q2 2014,5,May,2014-05,22,5,Saturday,1,Historical,773.7,2080.8384348125683,-1754.5979699389623,5710.220693774172,1564.1740063711989
2014-06-01,2014,2,Q2 2014,6,June,2014-06,22,6,Sunday,1,Historical,5188.5199999999995,2158.8154331560277,-1600.3950430902576,6216.6108092647755,1563.8740960431603
2014-06-02,2014,2,Q2 2014,6,June,2014-06,23,0,Monday,0,Historical,738.598,1758.7206175806066,-2123.176950331438,5753.045390243061,1563.5741857151218
2014-06-03,2014,2,Q2 2014,6,June,2014-06,23,1,Tuesday,0,Historical,741.336,964.1178836573025,-3169.145147078,5129.438225579835,1563.274275101076
2014-06-04,2014,2,Q2 2014,6,June,2014-06,23,2,Wednesday,0,Historical,456.272,30.327509110825996,-3902.668337890746,4330.831797836623,1562.9743644870307
2014-06-06,2014,2,Q2 2014,6,June,2014-06,23,4,Friday,0,Historical,1374.0010000000002,1691.3685203468501,-2426.5203142158243,5651.607749746451,1562.3745432589394
2014-06-07,2014,2,Q2 2014,6,June,2014-06,23,5,Saturday,1,Historical,281.397,1628.8891859771525,-2281.9993598741157,5626.946922819998,1562.0746326448939
2014-06-08,2014,2,Q2 2014,6,June,2014-06,23,6,Sunday,1,Historical,2501.264,2045.492201440769,-1927.1313037620528,5900.098439521538,1561.7747220308484
2014-06-09,2014,2,Q2 2014,6,June,2014-06,24,0,Monday,0,Historical,5463.008,2173.9685417041164,-1701.6037241426848,6239.683081018053,1561.4748114168028
2014-06-10,2014,2,Q2 2014,6,June,2014-06,24,1,Tuesday,0,Historical,491.55,1715.8185333353383,-2322.8397025313243,5808.859613242316,1561.1749008027573
2014-06-13,2014,2,Q2 2014,6,June,2014-06,24,4,Friday,0,Historical,14.52,1177.3167080488543,-2981.2399253810263,5159.062965422046,1560.2751689606205
2014-06-14,2014,2,Q2 2014,6,June,2014-06,24,5,Saturday,1,Historical,212.94,987.4946445129438,-2886.7069695990717,5102.298293033317,1559.9752583465752
2014-06-15,2014,2,Q2 2014,6,June,2014-06,24,6,Sunday,1,Historical,942.9739999999999,1641.6365032920246,-2224.4262861618186,5663.055069374577,1559.6753477325294
2014-06-16,2014,2,Q2 2014,6,June,2014-06,25,0,Monday,0,Historical,763.792,2164.973629257417,-1809.165468016956,6092.178856671497,1559.375437118484
2014-06-17,2014,2,Q2 2014,6,June,2014-06,25,1,Tuesday,0,Historical,3418.5020000000004,2144.6865187543262,-2240.929571976355,5925.871299259793,1559.0755265044384
2014-06-18,2014,2,Q2 2014,6,June,2014-06,25,2,Wednesday,0,Historical,139.8,1489.2858073306254,-2678.0810949013917,5350.250094731574,1558.7756158903928
2014-06-20,2014,2,Q2 2014,6,June,2014-06,25,4,Friday,0,Historical,1828.9496,2282.290886691887,-2148.446480606696,6163.683291781439,1558.1757946623018
2014-06-21,2014,2,Q2 2014,6,June,2014-06,25,5,Saturday,1,Historical,4107.443,1462.7471304237058,-2452.237118409976,5449.6744563004495,1557.8758840482562
2014-06-22,2014,2,Q2 2014,6,June,2014-06,25,6,Sunday,1,Historical,1975.498,1214.5009110159601,-2615.062669528816,4968.340197916691,1557.5759734342105
2014-06-23,2014,2,Q2 2014,6,June,2014-06,26,0,Monday,0,Historical,109.49600000000001,1018.8397049938662,-3042.3617968521376,4631.940237679876,1557.2760628201652
2014-06-24,2014,2,Q2 2014,6,June,2014-06,26,1,Tuesday,0,Historical,4.272,687.5812895146778,-3432.268169112595,4629.581088029823,1556.9761522061197
2014-06-25,2014,2,Q2 2014,6,June,2014-06,26,2,Wednesday,0,Historical,792.76,-17.481069307977716,-4133.461394685143,4138.336933748775,1556.676241592074
2014-06-27,2014,2,Q2 2014,6,June,2014-06,26,4,Friday,0,Historical,616.14,857.9138516861705,-3367.348203168102,4715.071430660867,1556.0764203639828
2014-06-28,2014,2,Q2 2014,6,June,2014-06,26,5,Saturday,1,Historical,1645.791,428.96895164483476,-3680.456430553891,4353.050710899901,1555.7765097499373
2014-06-29,2014,2,Q2 2014,6,June,2014-06,26,6,Sunday,1,Historical,46.68,852.9376912438415,-3040.0620659378574,4637.530388175607,1555.4765991358918
2014-06-30,2014,2,Q2 2014,6,June,2014-06,27,0,Monday,0,Historical,739.624,1231.1432251782392,-3059.3779035105963,5328.066580828697,1555.1766885218462
2014-07-01,2014,3,Q3 2014,7,July,2014-07,27,1,Tuesday,0,Historical,601.0239999999999,996.080837914887,-2902.3439893131185,5043.693458270489,1554.8767779078005
2014-07-02,2014,3,Q3 2014,7,July,2014-07,27,2,Wednesday,0,Historical,79.56,-34.29717888905524,-4072.8458380452876,3887.888110054959,1554.576867293755
2014-07-04,2014,3,Q3 2014,7,July,2014-07,27,4,Friday,0,Historical,247.40800000000002,513.6368908220436,-3499.1468942697443,4696.951916858513,1553.977046065664
2014-07-05,2014,3,Q3 2014,7,July,2014-07,27,5,Saturday,1,Historical,1444.104,482.5953705112677,-3483.4896072647252,4499.676870626073,1553.6771354516184
2014-07-06,2014,3,Q3 2014,7,July,2014-07,27,6,Sunday,1,Historical,1038.472,1121.1269006473628,-2899.266977696801,5329.498857214609,1553.3772248375728
2014-07-07,2014,3,Q3 2014,7,July,2014-07,28,0,Monday,0,Historical,241.19400000000002,1518.3840369080076,-2539.2156855904777,5869.5379017215455,1553.0773142235273
2014-07-08,2014,3,Q3 2014,7,July,2014-07,28,1,Tuesday,0,Historical,763.0740000000001,1309.1207376214657,-2476.1776175142586,5115.001419830465,1552.7773993095748
2014-07-09,2014,3,Q3 2014,7,July,2014-07,28,2,Wednesday,0,Historical,265.521,506.8527202861282,-3408.347633086651,4577.466920532912,1552.477484395622
2014-07-11,2014,3,Q3 2014,7,July,2014-07,28,4,Friday,0,Historical,2187.206,1452.335098538807,-2362.677407858396,5636.467543327877,1551.8776545677165
2014-07-12,2014,3,Q3 2014,7,July,2014-07,28,5,Saturday,1,Historical,1960.012,1018.4377962908924,-2589.9881753931986,4708.3616686560545,1551.577739653764
2014-07-13,2014,3,Q3 2014,7,July,2014-07,28,6,Sunday,1,Historical,351.216,1291.0262911423963,-2697.0038141641303,5141.774837563685,1551.2778247398112
2014-07-14,2014,3,Q3 2014,7,July,2014-07,29,0,Monday,0,Historical,292.594,1602.7221499144384,-2136.595062454888,5305.655565497055,1550.9779098258584
2014-07-15,2014,3,Q3 2014,7,July,2014-07,29,1,Tuesday,0,Historical,9.51,1638.603413946783,-2220.441194153502,5667.01402598162,1550.6779949119057
2014-07-18,2014,3,Q3 2014,7,July,2014-07,29,4,Friday,0,Historical,273.04,2386.9440615973276,-1527.3843152577124,6206.974066761945,1549.7782501700478
2014-07-19,2014,3,Q3 2014,7,July,2014-07,29,5,Saturday,1,Historical,461.326,1953.82079368758,-2303.620978984684,6098.500747847195,1549.478335256095
2014-07-20,2014,3,Q3 2014,7,July,2014-07,29,6,Sunday,1,Historical,2285.786,2045.875102174588,-1853.7687736001958,5941.497889360571,1549.1784203421423
2014-07-21,2014,3,Q3 2014,7,July,2014-07,30,0,Monday,0,Historical,1961.482,1854.7630036817081,-1753.6435985100022,5862.98076259021,1548.8785054281898
2014-07-22,2014,3,Q3 2014,7,July,2014-07,30,1,Tuesday,0,Historical,1348.344,1167.895324283316,-2884.8393877484773,5212.252051802725,1548.578590514237
2014-07-23,2014,3,Q3 2014,7,July,2014-07,30,2,Wednesday,0,Historical,2613.1839999999997,118.47184302793812,-3728.743795659416,4005.002167184018,1548.2786756002843
2014-07-25,2014,3,Q3 2014,7,July,2014-07,30,4,Friday,0,Historical,8341.289999999999,1397.695850875794,-2888.219827470355,5360.083139832867,1547.678845772379
2014-07-26,2014,3,Q3 2014,7,July,2014-07,30,5,Saturday,1,Historical,5039.994,1186.7393168305628,-3104.635973989257,5145.209368226582,1547.3789308584262
2014-07-27,2014,3,Q3 2014,7,July,2014-07,30,6,Sunday,1,Historical,580.06,1377.7386670105363,-2359.8570877923794,5290.490351851961,1547.0790159444734
2014-07-28,2014,3,Q3 2014,7,July,2014-07,31,0,Monday,0,Historical,193.152,1347.5211285707273,-2761.678219673692,5358.264658823719,1546.7791010305207
